City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
560,tamandare,-35.1047,-8.7597,23.31,84,6,3.58,BR,1690235262
561,vernon,-119.2691,50.2581,29.86,28,81,2.57,CA,1690235262
562,novo aripuana,-60.3797,-5.1206,29.38,42,45,0.68,BR,1690235262
563,fauske,15.3918,67.2588,14.87,95,99,0.58,NO,1690235262
564,nueva gerona,-82.8,21.8833,32.63,47,0,2.56,CU,1690235263
565,kralendijk,-68.2667,12.15,30.99,66,40,8.23,BQ,1690235263
566,ubari,12.7805,26.5921,33.41,16,0,3.29,LY,1690235263
567,sao miguel,-35.3667,-5.4667,25.43,80,21,7.35,BR,1690235263
568,san luis de la loma,-100.8939,17.2706,31.1,62,99,2.77,MX,1690235263
569,cabo san lucas,-109.9124,22.8909,35.9,70,40,2.57,MX,1690234997
570,jauja,-75.4966,-11.7758,15.82,30,3,3.82,PE,1690235264
571,dubbo,148.6167,-32.25,4.07,87,0,5.66,AU,1690235264
572,achacachi,-68.6833,-16.05,10.64,46,0,3.53,BO,1690235264
573,makokou,12.8642,0.5738,22.17,86,97,1.68,GA,1690235265
574,mweka,21.5667,-4.85,23.44,41,15,0.47,CD,1690235265
575,menongue,17.691,-14.6585,13.28,35,52,1.47,AO,1690235266
576,sao felix do xingu,-51.995,-6.6447,26.29,41,6,1.12,BR,1690235266
577,moquegua,-70.9353,-17.1956,20.46,38,0,2.6,PE,1690235267
578,birobidzhan,132.95,48.8,19.43,99,100,1.58,RU,1690235267
579,cozumel,-86.9458,20.5083,33.04,73,75,4.47,MX,1690235142
580,kolwezi,25.4667,-10.7148,16.98,45,0,2.82,CD,1690235268
581,kalabo,22.6814,-14.97,14.71,32,39,2.92,ZM,1690235268
582,dawson creek,-120.2362,55.7666,17.8,68,40,2.57,CA,1690235231
583,mount isa,139.5,-20.7333,12.87,54,75,5.14,AU,1690235180
584,nouadhibou,-17.0347,20.931,23.99,69,43,6.69,MR,1690235269
585,nilgiri,86.7669,21.4581,27.31,86,62,3.3,IN,1690235269
586,nefta,7.8777,33.8731,38.14,10,0,3.65,TN,1690235269
